age (bin),Division,Name,Region,sex,State,age,Census 2000 Gender,CENSUS2000,ESTBASE2000,Number of Records,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006
55,New England,Connecticut,Northeast,Male,9,56,-18474,18474,18475,1,18300,17795,18036,23652,21559,21123,21403
55,New England,Connecticut,Northeast,Male,9,57,-19003,19003,19003,1,19338,17988,17511,17777,23292,21182,20782
55,New England,Connecticut,Northeast,Male,9,58,-15700,15700,15701,1,15940,19034,17630,17210,17428,22990,20851
55,New England,Connecticut,Northeast,Male,9,59,-14360,14360,14360,1,14504,15513,18615,17180,16756,16984,22544
60,New England,Connecticut,Northeast,Male,9,60,-13636,13636,13636,1,13720,14195,15235,18282,16811,16406,16659
60,New England,Connecticut,Northeast,Male,9,61,-13169,13169,13169,1,13208,13466,13958,14961,17957,16420,16059
60,New England,Connecticut,Northeast,Male,9,62,-12479,12479,12479,1,12566,12852,13105,13611,14575,17535,15994
60,New England,Connecticut,Northeast,Male,9,63,-11560,11560,11560,1,11643,12192,12487,12746,13195,14152,17130
60,New England,Connecticut,Northeast,Male,9,64,-11565,11565,11565,1,11536,11479,12016,12284,12552,12983,13940
65,New England,Connecticut,Northeast,Male,9,65,-11450,11450,11450,1,11464,11227,11192,11751,11916,12161,12628
65,New England,Connecticut,Northeast,Male,9,66,-10460,10460,10460,1,10537,11237,11005,11017,11531,11659,11907
65,New England,Connecticut,Northeast,Male,9,67,-10569,10569,10570,1,10494,10245,10969,10761,10725,11205,11343
65,New England,Connecticut,Northeast,Male,9,68,-10579,10579,10579,1,10549,10281,10059,10804,10565,10515,10990
65,New England,Connecticut,Northeast,Male,9,69,-10992,10992,10993,1,10853,10231,10036,9782,10497,10234,10197
70,New England,Connecticut,Northeast,Male,9,70,-10633,10633,10634,1,10653,10521,9961,9751,9473,10147,9896
70,New England,Connecticut,Northeast,Male,9,71,-10195,10195,10195,1,10180,10285,10152,9614,9378,9081,9747
70,New England,Connecticut,Northeast,Male,9,72,-10265,10265,10265,1,10191,9843,9991,9833,9315,9074,8753
70,New England,Connecticut,Northeast,Male,9,73,-9727,9727,9727,1,9786,9860,9501,9685,9507,8982,8745
70,New England,Connecticut,Northeast,Male,9,74,-9132,9132,9132,1,9104,9347,9477,9090,9318,9115,8553
75,New England,Connecticut,Northeast,Male,9,75,-9270,9270,9270,1,9251,8653,8887,9055,8617,8847,8675
75,New England,Connecticut,Northeast,Male,9,76,-8663,8663,8663,1,8701,8786,8219,8483,8618,8202,8429
75,New England,Connecticut,Northeast,Male,9,77,-8104,8104,8104,1,8180,8273,8388,7839,8078,8196,7763
75,New England,Connecticut,Northeast,Male,9,78,-7978,7978,7978,1,7875,7750,7825,7968,7338,7572,7711
75,New England,Connecticut,Northeast,Male,9,79,-7199,7199,7199,1,7290,7317,7194,7308,7440,6774,7006
80,New England,Connecticut,Northeast,Male,9,80,-6607,6607,6607,1,6747,6831,6849,6698,6864,6950,6236
80,New England,Connecticut,Northeast,Male,9,81,-5807,5807,5807,1,5760,6219,6316,6323,6149,6318,6428
80,New England,Connecticut,Northeast,Male,9,82,-5488,5488,5488,1,5609,5221,5708,5822,5766,5594,5771
80,New England,Connecticut,Northeast,Male,9,83,-4862,4862,4862,1,4890,5108,4741,5220,5278,5190,5046
80,New England,Connecticut,Northeast,Male,9,84,-4090,4090,4090,1,4107,4390,4591,4246,4703,4709,4633
85,New England,Connecticut,Northeast,Male,9,85,-17932,17932,17932,1,18185,19053,19992,21094,21553,22509,23378
0,New England,Maine,Northeast,Male,23,0,-6938,6938,6938,1,6993,7097,6913,7145,7284,7354,7269
0,New England,Maine,Northeast,Male,23,1,-7184,7184,7184,1,7143,7053,7176,6997,7208,7323,7393
0,New England,Maine,Northeast,Male,23,2,-7123,7123,7123,1,7147,7185,7113,7242,7043,7232,7344
0,New England,Maine,Northeast,Male,23,3,-7393,7393,7393,1,7362,7187,7244,7178,7290,7073,7262
0,New England,Maine,Northeast,Male,23,4,-7548,7548,7548,1,7502,7419,7256,7315,7233,7327,7108
5,New England,Maine,Northeast,Male,23,5,-7674,7674,7674,1,7683,7563,7495,7331,7375,7272,7367
5,New England,Maine,Northeast,Male,23,6,-8216,8216,8216,1,8181,7730,7634,7571,7383,7410,7303
5,New England,Maine,Northeast,Male,23,7,-8552,8552,8552,1,8492,8216,7782,7696,7611,7398,7429
5,New England,Maine,Northeast,Male,23,8,-8955,8955,8955,1,8910,8536,8279,7849,7750,7644,7425
5,New England,Maine,Northeast,Male,23,9,-9138,9138,9138,1,9042,8963,8602,8353,7902,7787,7678
10,New England,Maine,Northeast,Male,23,10,-9554,9554,9554,1,9622,9072,9016,8659,8392,7920,7812
10,New England,Maine,Northeast,Male,23,11,-9295,9295,9295,1,9353,9665,9133,9088,8703,8416,7946
10,New England,Maine,Northeast,Male,23,12,-9521,9521,9521,1,9522,9378,9716,9192,9130,8717,8436
10,New England,Maine,Northeast,Male,23,13,-9512,9512,9512,1,9548,9545,9422,9772,9226,9144,8732
10,New England,Maine,Northeast,Male,23,14,-9540,9540,9540,1,9502,9596,9605,9488,9822,9256,9181
15,New England,Maine,Northeast,Male,23,15,-9654,9654,9654,1,9759,9499,9599,9617,9477,9791,9227
15,New England,Maine,Northeast,Male,23,16,-9415,9415,9415,1,9426,9883,9622,9743,9730,9571,9892
15,New England,Maine,Northeast,Male,23,17,-9351,9351,9351,1,9373,9412,9876,9634,9731,9687,9529
15,New England,Maine,Northeast,Male,23,18,-8916,8916,8916,1,9008,8789,8843,9293,8985,9036,9018
15,New England,Maine,Northeast,Male,23,19,-8487,8487,8487,1,8468,8434,8348,8383,8591,8436,8447
20,New England,Maine,Northeast,Male,23,20,-7831,7831,7831,1,7919,8930,8801,8739,8621,9023,8839
20,New England,Maine,Northeast,Male,23,21,-7449,7449,7449,1,7586,7735,8834,8638,8411,8461,8819
20,New England,Maine,Northeast,Male,23,22,-6940,6940,6940,1,6978,7515,7545,8853,8399,8279,8285
20,New England,Maine,Northeast,Male,23,23,-6512,6512,6512,1,6626,6789,7298,7293,8772,8136,7953
20,New England,Maine,Northeast,Male,23,24,-6202,6202,6202,1,6190,6691,6832,7379,7303,8865,7992
25,New England,Maine,Northeast,Male,23,25,-6463,6463,6463,1,6456,6373,6878,6997,7537,7382,9010
25,New England,Maine,Northeast,Male,23,26,-6427,6427,6427,1,6477,6541,6502,6949,7049,7599,7375
25,New England,Maine,Northeast,Male,23,27,-6828,6828,6828,1,6746,6739,6804,6754,7163,7258,7771
25,New England,Maine,Northeast,Male,23,28,-7454,7454,7454,1,7325,6733,6744,6767,6676,7088,7151
25,New England,Maine,Northeast,Male,23,29,-8209,8209,8209,1,8103,7388,6818,6795,6762,6687,7055
30,New England,Maine,Northeast,Male,23,30,-8338,8338,8338,1,8335,8311,7610,7021,6954,6895,6798
30,New England,Maine,Northeast,Male,23,31,-7881,7881,7881,1,8006,8770,8759,8048,7412,7327,7226
30,New England,Maine,Northeast,Male,23,32,-8183,8183,8183,1,8173,7990,8768,8770,8025,7335,7235
30,New England,Maine,Northeast,Male,23,33,-8508,8508,8508,1,8498,8342,8158,8945,8927,8127,7429
30,New England,Maine,Northeast,Male,23,34,-9027,9027,9027,1,8925,8661,8500,8320,9100,9018,8203
35,New England,Maine,Northeast,Male,23,35,-9685,9685,9685,1,9481,9059,8789,8606,8402,9164,9090
35,New England,Maine,Northeast,Male,23,36,-9876,9876,9876,1,9904,9544,9140,8835,8634,8393,9175
35,New England,Maine,Northeast,Male,23,37,-10110,10110,10110,1,10112,10015,9684,9236,8907,8688,8456
35,New England,Maine,Northeast,Male,23,38,-10532,10532,10532,1,10463,10221,10125,9780,9342,8965,8729
35,New England,Maine,Northeast,Male,23,39,-10600,10600,10600,1,10626,10571,10329,10228,9887,9415,9025
40,New England,Maine,Northeast,Male,23,40,-10833,10833,10833,1,10749,10735,10673,10443,10336,9940,9472
40,New England,Maine,Northeast,Male,23,41,-10631,10631,10631,1,10722,10855,10847,10788,10535,10387,10018
40,New England,Maine,Northeast,Male,23,42,-10826,10826,10826,1,10770,10747,10866,10852,10785,10499,10366
40,New England,Maine,Northeast,Male,23,43,-10668,10668,10668,1,10839,10901,10873,10975,10967,10866,10591
40,New England,Maine,Northeast,Male,23,44,-10268,10268,10268,1,10260,10925,10954,10925,11006,10971,10881
45,New England,Maine,Northeast,Male,23,45,-10520,10520,10520,1,10495,10334,10974,11014,10947,11015,10988
45,New England,Maine,Northeast,Male,23,46,-10259,10259,10259,1,10424,10542,10383,11043,11036,10948,11028
45,New England,Maine,Northeast,Male,23,47,-10077,10077,10077,1,10074,10417,10557,10424,11037,11020,10937
45,New England,Maine,Northeast,Male,23,48,-9835,9835,9835,1,9854,10109,10468,10644,10451,11041,11059
45,New England,Maine,Northeast,Male,23,49,-9548,9548,9548,1,9707,9862,10153,10513,10661,10435,11037
50,New England,Maine,Northeast,Male,23,50,-9866,9866,9866,1,9819,9722,9898,10202,10557,10652,10424
50,New England,Maine,Northeast,Male,23,51,-9232,9232,9232,1,9326,9790,9704,9867,10181,10490,10590
50,New England,Maine,Northeast,Male,23,52,-9817,9817,9817,1,9563,9347,9832,9755,9913,10177,10491
50,New England,Maine,Northeast,Male,23,53,-9625,9625,9625,1,10135,9588,9414,9893,9797,9910,10193
50,New England,Maine,Northeast,Male,23,54,-7001,7001,7001,1,7138,10072,9544,9378,9853,9710,9832
55,New England,Maine,Northeast,Male,23,55,-7227,7227,7227,1,7220,7179,10098,9600,9406,9864,9729
55,New England,Maine,Northeast,Male,23,56,-7271,7271,7271,1,7196,7233,7179,10112,9613,9384,9842
55,New England,Maine,Northeast,Male,23,57,-7226,7226,7226,1,7364,7149,7168,7104,10031,9513,9276
55,New England,Maine,Northeast,Male,23,58,-6380,6380,6380,1,6483,7351,7145,7154,7091,9988,9473
55,New England,Maine,Northeast,Male,23,59,-5718,5718,5718,1,5785,6479,7354,7150,7154,7069,9947
60,New England,Maine,Northeast,Male,23,60,-5379,5379,5379,1,5416,5819,6484,7403,7153,7163,7078
60,New England,Maine,Northeast,Male,23,61,-5357,5357,5357,1,5369,5374,5757,6405,7303,7068,7094
60,New England,Maine,Northeast,Male,23,62,-5387,5387,5387,1,5426,5343,5349,5740,6351,7247,7037
60,New England,Maine,Northeast,Male,23,63,-5204,5204,5204,1,5245,5371,5316,5288,5711,6287,7196
60,New England,Maine,Northeast,Male,23,64,-5129,5129,5129,1,5120,5206,5306,5263,5250,5648,6232
65,New England,Maine,Northeast,Male,23,65,-5039,5039,5039,1,5047,5020,5124,5184,5174,5140,5555
65,New England,Maine,Northeast,Male,23,66,-4633,4633,4633,1,4667,5007,4976,5070,5139,5118,5083
65,New England,Maine,Northeast,Male,23,67,-4738,4738,4738,1,4715,4528,4873,4849,4944,5007,4986
65,New England,Maine,Northeast,Male,23,68,-4742,4742,4742,1,4728,4604,4409,4759,4737,4826,4874
65,New England,Maine,Northeast,Male,23,69,-4416,4416,4416,1,4369,4635,4493,4295,4674,4639,4727
70,New England,Maine,Northeast,Male,23,70,-4404,4404,4404,1,4417,4266,4556,4402,4200,4588,4558
70,New England,Maine,Northeast,Male,23,71,-4257,4257,4257,1,4253,4268,4131,4408,4281,4063,4438
70,New England,Maine,Northeast,Male,23,72,-4227,4227,4227,1,4201,4103,4112,3973,4270,4138,3926
70,New England,Maine,Northeast,Male,23,73,-3947,3947,3947,1,3977,4058,3951,3930,3816,4109,3978
70,New England,Maine,Northeast,Male,23,74,-3731,3731,3731,1,3724,3823,3895,3798,3801,3672,3955
75,New England,Maine,Northeast,Male,23,75,-3643,3643,3643,1,3637,3528,3646,3695,3605,3620,3518
75,New England,Maine,Northeast,Male,23,76,-3347,3347,3347,1,3364,3480,3389,3505,3537,3457,3489
75,New England,Maine,Northeast,Male,23,77,-3250,3250,3250,1,3288,3189,3307,3199,3333,3362,3295
75,New England,Maine,Northeast,Male,23,78,-2971,2971,2971,1,2933,3108,3006,3141,3040,3178,3210
75,New England,Maine,Northeast,Male,23,79,-2624,2624,2624,1,2662,2723,2899,2799,2935,2841,2964
80,New England,Maine,Northeast,Male,23,80,-2389,2389,2389,1,2443,2491,2547,2733,2596,2721,2642
80,New England,Maine,Northeast,Male,23,81,-2158,2158,2158,1,2141,2228,2286,2356,2538,2386,2532
80,New England,Maine,Northeast,Male,23,82,-1907,1907,1907,1,1952,1956,2046,2107,2198,2336,2136
80,New England,Maine,Northeast,Male,23,83,-1654,1654,1654,1,1666,1761,1770,1837,1940,1994,2132
80,New England,Maine,Northeast,Male,23,84,-1490,1490,1490,1,1499,1507,1563,1611,1642,1725,1768
85,New England,Maine,Northeast,Male,23,85,-6437,6437,6437,1,6544,6896,7179,7423,7730,8017,8436
0,New England,Massachusetts,Northeast,Male,25,0,-39991,39991,39991,1,40393,41448,40612,40788,40285,39803,39102
0,New England,Massachusetts,Northeast,Male,25,1,-40312,40312,40312,1,40123,40333,41261,40343,40472,39964,39561
0,New England,Massachusetts,Northeast,Male,25,2,-40196,40196,40196,1,40330,40070,40162,41003,40029,40161,39711
0,New England,Massachusetts,Northeast,Male,25,3,-40741,40741,40741,1,40618,40344,39959,39960,40748,39763,39971
0,New England,Massachusetts,Northeast,Male,25,4,-41822,41822,41822,1,41584,40586,40194,39733,39679,40469,39540
5,New England,Massachusetts,Northeast,Male,25,5,-42573,42573,42573,1,42641,41605,40494,40020,39495,39453,40310
5,New England,Massachusetts,Northeast,Male,25,6,-43082,43082,43083,1,42951,42656,41489,40306,39780,39259,39290
5,New England,Massachusetts,Northeast,Male,25,7,-44594,44594,44594,1,44352,42990,42582,41313,40092,39586,39134
5,New England,Massachusetts,Northeast,Male,25,8,-44448,44448,44448,1,44301,44383,42884,42388,41058,39861,39427
5,New England,Massachusetts,Northeast,Male,25,9,-46448,46448,46448,1,46046,44303,44272,42662,42120,40800,39690
10,New England,Massachusetts,Northeast,Male,25,10,-46613,46613,46613,1,47020,46037,44162,44070,42386,41862,40607
10,New England,Massachusetts,Northeast,Male,25,11,-44206,44206,44206,1,44535,47059,45905,43941,43813,42124,41684
10,New England,Massachusetts,Northeast,Male,25,12,-44328,44328,44328,1,44373,44534,46927,45651,43620,43523,41896
10,New England,Massachusetts,Northeast,Male,25,13,-42848,42848,42848,1,43039,44417,44428,46719,45344,43330,43328
10,New England,Massachusetts,Northeast,Male,25,14,-43173,43173,43173,1,43036,43117,44361,44250,46483,45088,43160
15,New England,Massachusetts,Northeast,Male,25,15,-42126,42126,42126,1,42539,43036,42979,44110,43912,46158,44805
15,New England,Massachusetts,Northeast,Male,25,16,-40663,40663,40663,1,40671,42694,43033,42870,43926,43711,46022
15,New England,Massachusetts,Northeast,Male,25,17,-40981,40981,40981,1,40968,40692,42562,42762,42509,43559,43399
15,New England,Massachusetts,Northeast,Male,25,18,-42888,42888,42888,1,43216,43954,43514,45093,45074,44784,45768
15,New England,Massachusetts,Northeast,Male,25,19,-43802,43802,43802,1,43721,44552,45134,44552,45752,45741,45479
20,New England,Massachusetts,Northeast,Male,25,20,-42546,42546,42546,1,42945,44332,45535,46021,45222,46623,46638
20,New England,Massachusetts,Northeast,Male,25,21,-40292,40292,40292,1,40816,42629,44313,45442,45673,44984,46505
20,New England,Massachusetts,Northeast,Male,25,22,-39076,39076,39076,1,39254,38830,40899,42509,43436,43826,43051
20,New England,Massachusetts,Northeast,Male,25,23,-38009,38009,38009,1,38570,39450,38436,40637,42008,43127,43548
20,New England,Massachusetts,Northeast,Male,25,24,-38833,38833,38833,1,38762,39875,40368,38987,41244,42662,43955
25,New England,Massachusetts,Northeast,Male,25,25,-40323,40323,40323,1,40341,40148,40786,41153,39395,41999,43521
25,New England,Massachusetts,Northeast,Male,25,26,-39321,39321,39321,1,39664,41283,40645,41079,41275,39405,42503
25,New England,Massachusetts,Northeast,Male,25,27,-41763,41763,41763,1,41340,40645,41874,41049,41388,41554,39834
25,New England,Massachusetts,Northeast,Male,25,28,-44484,44484,44484,1,44003,41574,40484,41550,40613,40908,41253
25,New England,Massachusetts,Northeast,Male,25,29,-47485,47485,47485,1,46990,44711,41845,40628,41656,40647,41072
30,New England,Massachusetts,Northeast,Male,25,30,-49523,49523,49523,1,49568,47478,44848,41760,40519,41553,40600
30,New England,Massachusetts,Northeast,Male,25,31,-46228,46228,46228,1,46950,49620,47174,44385,41223,40021,41161
30,New England,Massachusetts,Northeast,Male,25,32,-47722,47722,47722,1,47775,47533,49930,47254,44458,41258,40199
30,New England,Massachusetts,Northeast,Male,25,33,-48383,48383,48383,1,48322,47776,47197,49418,46702,43868,40788
30,New England,Massachusetts,Northeast,Male,25,34,-50530,50530,50530,1,50019,48766,47958,47163,49407,46574,43888
35,New England,Massachusetts,Northeast,Male,25,35,-54100,54100,54101,1,53159,50090,48620,47589,46799,49008,46242
35,New England,Massachusetts,Northeast,Male,25,36,-53026,53026,53026,1,53262,52790,49534,47867,46796,46005,48311
35,New England,Massachusetts,Northeast,Male,25,37,-53106,53106,53106,1,53160,53297,52671,49269,47539,46474,45763
35,New England,Massachusetts,Northeast,Male,25,38,-52948,52948,52948,1,52770,53022,53014,52264,48784,47113,46110
35,New England,Massachusetts,Northeast,Male,25,39,-53327,53327,53327,1,53373,52948,53093,52872,52124,48681,47040
40,New England,Massachusetts,Northeast,Male,25,40,-54181,54181,54181,1,53859,53262,52760,52718,52467,51755,48330
40,New England,Massachusetts,Northeast,Male,25,41,-51458,51458,51458,1,51960,53977,53270,52609,52569,52302,51619
40,New England,Massachusetts,Northeast,Male,25,42,-52112,52112,52112,1,51835,51742,53630,52801,52113,52066,51857
40,New England,Massachusetts,Northeast,Male,25,43,-49509,49509,49509,1,50296,51799,51518,53322,52463,51757,51793
40,New England,Massachusetts,Northeast,Male,25,44,-48578,48578,48579,1,48556,49960,51336,51000,52798,51903,51253
45,New England,Massachusetts,Northeast,Male,25,45,-48857,48857,48857,1,48734,48484,49806,51117,50726,52502,51623
45,New England,Massachusetts,Northeast,Male,25,46,-45684,45684,45685,1,46466,48525,48195,49430,50717,50282,52081
45,New England,Massachusetts,Northeast,Male,25,47,-45125,45125,45125,1,45140,46411,48378,47980,49154,50394,50001
45,New England,Massachusetts,Northeast,Male,25,48,-43346,43346,43346,1,43478,44787,45955,47864,47396,48531,49822
45,New England,Massachusetts,Northeast,Male,25,49,-42017,42017,42017,1,42629,43304,44526,45615,47474,46965,48146
50,New England,Massachusetts,Northeast,Male,25,50,-42657,42657,42657,1,42489,42481,43065,44239,45275,47105,46609
50,New England,Massachusetts,Northeast,Male,25,51,-41136,41136,41136,1,41618,42250,42183,42696,43868,44895,46748
50,New England,Massachusetts,Northeast,Male,25,52,-42135,42135,42135,1,41168,41194,41785,41670,42191,43332,44355
50,New England,Massachusetts,Northeast,Male,25,53,-41947,41947,41947,1,44109,40826,40804,41359,41207,41747,42926
50,New England,Massachusetts,Northeast,Male,25,54,-31330,31330,31330,1,31890,43710,40279,40244,40721,40557,41124
55,New England,Massachusetts,Northeast,Male,25,55,-31780,31780,31780,1,31783,31650,43377,39811,39747,40198,40108
55,New England,Massachusetts,Northeast,Male,25,56,-32096,32096,32096,1,31801,31438,31291,42857,39186,39104,39638
55,New England,Massachusetts,Northeast,Male,25,57,-32435,32435,32435,1,33025,31475,31098,30884,42377,38518,38593
55,New England,Massachusetts,Northeast,Male,25,58,-27590,27590,27590,1,28024,32475,30875,30522,30241,41710,37796
55,New England,Massachusetts,Northeast,Male,25,59,-24940,24940,24940,1,25212,27668,32004,30349,29954,29712,41189
60,New England,Massachusetts,Northeast,Male,25,60,-24153,24153,24153,1,24314,24747,27179,31401,29710,29312,29112
60,New England,Massachusetts,Northeast,Male,25,61,-23024,23024,23024,1,23099,23864,24277,26656,30777,28972,28646
60,New England,Massachusetts,Northeast,Male,25,62,-22499,22499,22499,1,22664,22525,23251,23622,25945,29947,28139
60,New England,Massachusetts,Northeast,Male,25,63,-21176,21176,21176,1,21332,22245,22051,22734,23105,25343,29291
60,New England,Massachusetts,Northeast,Male,25,64,-20652,20652,20652,1,20610,20908,21776,21497,22195,22548,24739
65,New England,Massachusetts,Northeast,Male,25,65,-21056,21056,21056,1,21081,20255,20429,21284,20952,21706,22012
65,New England,Massachusetts,Northeast,Male,25,66,-19290,19290,19290,1,19426,20684,19852,20014,20826,20498,21202
65,New England,Massachusetts,Northeast,Male,25,67,-19848,19848,19848,1,19719,19100,20302,19446,19627,20405,20024
65,New England,Massachusetts,Northeast,Male,25,68,-19553,19553,19553,1,19486,19253,18647,19772,18925,19102,19828
65,New England,Massachusetts,Northeast,Male,25,69,-19135,19135,19135,1,18892,18973,18732,18154,19209,18380,18528
70,New England,Massachusetts,Northeast,Male,25,70,-19102,19102,19102,1,19146,18395,18438,18170,17613,18663,17777
70,New England,Massachusetts,Northeast,Male,25,71,-18658,18658,18658,1,18630,18548,17778,17844,17582,17022,17992
70,New England,Massachusetts,Northeast,Male,25,72,-18484,18484,18484,1,18350,17992,17903,17131,17192,16937,16331
70,New England,Massachusetts,Northeast,Male,25,73,-18091,18091,18091,1,18206,17596,17332,17194,16442,16539,16263
70,New England,Massachusetts,Northeast,Male,25,74,-17081,17081,17081,1,17027,17490,16892,16608,16478,15758,15840
