Russia,2009,0.747
Russia,2010,0.751
Russia,2011,0.755
Albania,1990,0.656
Albania,1995,0.651
Albania,2000,0.691
Albania,2005,0.721
Albania,2009,0.734
Albania,2010,0.737
Albania,2011,0.739
Ukraine,1990,0.707
Ukraine,1995,0.665
Ukraine,2000,0.669
Ukraine,2005,0.712
Ukraine,2009,0.720
Ukraine,2010,0.725
Ukraine,2011,0.729
Armenia,1995,0.595
Armenia,2000,0.643
Armenia,2005,0.689
Armenia,2009,0.712
Armenia,2010,0.714
Armenia,2011,0.716
Turkey,1980,0.463
Turkey,1985,0.518
Turkey,1990,0.558
Turkey,1995,0.588
Turkey,2000,0.634
Turkey,2005,0.671
Turkey,2009,0.690
Turkey,2010,0.696
Turkey,2011,0.699
Moldova,1995,0.584
Moldova,2000,0.586
Moldova,2005,0.631
Moldova,2009,0.638
Moldova,2010,0.644
Moldova,2011,0.649
